Date,Open,High,Low,Close,Volume
2023-01-01,88.50,95.20,85.30,91.40,450000000
2023-02-01,91.50,98.70,90.20,96.30,485000000
2023-03-01,96.40,104.50,94.80,102.10,520000000
2023-04-01,102.20,108.90,100.50,106.80,495000000
2023-05-01,106.90,115.20,105.30,112.50,535000000
2023-06-01,112.60,120.80,110.90,118.70,565000000
2023-07-01,118.80,126.50,117.20,124.30,580000000
2023-08-01,124.40,132.90,122.70,130.60,610000000
2023-09-01,130.70,138.20,128.90,136.80,595000000
2023-10-01,136.90,144.50,135.20,142.40,625000000
2023-11-01,142.50,150.80,140.70,148.90,655000000
2023-12-01,149.00,157.30,147.20,155.60,680000000
2024-01-01,155.70,164.20,153.90,162.30,700000000
2024-02-01,162.40,171.50,160.60,169.90,735000000
2024-03-01,170.00,179.20,168.30,177.40,765000000
2024-04-01,177.50,186.80,175.70,184.90,785000000
2024-05-01,185.00,194.50,183.20,192.60,820000000
2024-06-01,192.70,201.90,190.80,200.30,850000000
2024-07-01,200.40,209.70,198.50,207.80,880000000
2024-08-01,207.90,217.20,206.10,215.40,915000000
2024-09-01,215.50,224.80,213.70,223.10,895000000
2024-10-01,223.20,232.50,221.40,230.80,930000000
2024-11-01,230.90,240.20,229.10,238.50,965000000
2024-12-01,238.60,248.00,236.80,246.30,995000000
