Date,Open,High,Low,Close,Volume
2021-01-04,6325.63328316,6325.63328316,6019.03095411,6027.40243358,0
2021-01-05,6386.67468512,6602.93565206,6330.29614865,6512.24556915,0
2021-01-06,6561.07869072,6740.71481649,6426.7876064,6698.85785514,0
2021-01-07,6801.75621845,6801.75621845,6620.37605262,6709.32209548,0
2021-01-08,6695.36977503,6763.38733721,6576.77505122,6700.6018952,0
2021-01-11,6667.46513413,6731.99461621,6566.31081089,6630.84029296,0
2021-01-12,6653.51281369,6759.8992571,6599.44757195,6688.39361481,0
2021-01-13,6721.53037587,6918.6069022,6688.39361481,6871.51782069,0
2021-01-14,6878.49398091,6995.34466466,6676.18533441,6941.27942293,0
2021-01-15,6960.46386354,7042.43374618,6909.88670192,6991.85658455,0
2021-01-18,7005.808905,7099.98706803,6962.2079036,7063.36222685,0
2021-01-19,7098.24302797,7098.24302797,6826.17277923,6962.2079036,0
2021-01-20,6936.04730276,7073.82646718,6929.07114254,7073.82646718,0
2021-01-21,7099.98706803,7133.12382909,6998.83274478,7113.93938847,0
2021-01-22,7103.47514814,7103.47514814,6873.26186074,6901.16650164,0
2021-01-25,6875.0059008,6955.23174338,6833.14893946,6873.26186074,0
2021-01-26,6888.95822125,6925.58306242,6787.803898,6871.51782069,0
2021-01-27,6854.07742013,7122.65958875,6813.96449884,7007.55294506,0
2021-01-28,6929.07114254,7040.68970612,6829.66085934,6880.23802097,0
2021-01-29,6731.99461621,6880.23802097,6707.57805542,6740.71481649,0
2021-02-01,6815.7085389,6933.00377846,6763.38733721,6899.42246158,0
2021-02-02,6944.76750304,6944.76750304,6801.75621845,6808.73237867,0
2021-02-03,6866.28570052,6923.83902237,6784.31581789,6876.74994086,0
2021-02-04,6883.72610108,6979.64830416,6782.57177783,6815.7085389,0
2021-02-05,6817.45257895,6962.2079036,6806.98833862,6908.14266186,0
2021-02-08,6850.58934002,6998.83274478,6850.58934002,6869.77378063,0
2021-02-09,6850.58934002,6918.6069022,6822.68469912,6843.61317979,0
2021-02-10,6859.3095403,6909.88670192,6627.35221285,6700.6018952,0
2021-02-11,6681.41745458,6723.27441593,6534.91808988,6657.0008938,0
2021-02-12,6578.51909128,6719.78633581,6552.35849044,6695.36977503,0
2021-02-15,6765.13137727,6916.86286214,6683.16149464,6916.86286214,0
2021-02-16,6930.81518259,6953.48770332,6802.47110047,6862.79762041,0
2021-02-17,6885.47014114,6916.86286214,6758.15521705,6758.15521705,0
2021-02-18,6758.15521705,6803.5002585,6625.60817279,6684.90553469,0
2021-02-19,6683.16149464,6751.17905682,6651.76877363,6688.39361481,0
2021-02-22,6632.58433301,6683.16149464,6543.63829016,6670.95321425,0
2021-02-23,6707.57805542,6757.45010165,6527.94192965,6639.56049324,0
2021-02-24,6588.98333161,6798.26813833,6571.54293105,6704.08997531,0
2021-02-25,6733.73865626,6756.41117699,6665.72109408,6674.44129436,0
2021-02-26,6540.15021005,6697.11381509,6510.50152909,6592.47141173,0
2021-03-01,6625.60817279,6763.38733721,6573.28697111,6601.19161201,0
2021-03-02,6557.59061061,6634.31093267,6513.38878741,6520.96576943,0
2021-03-03,6569.798891,6599.44757195,6503.52536887,6557.59061061,0
2021-03-04,6491.31708848,6534.91808988,6425.04356635,6473.87668792,0
2021-03-05,6398.88296551,6572.22764118,6370.6296038,6452.94820724,0
2021-03-08,6452.94820724,6561.76340084,6451.20416719,6496.54920864,0
2021-03-09,6452.94820724,6597.70353189,6447.71608708,6552.35849044,0
2021-03-10,6540.15021005,6644.79261341,6454.6922473,6594.21545178,0
2021-03-11,6613.3998924,6676.18533441,6569.798891,6606.42373217,0
2021-03-12,6561.07869072,6731.99461621,6543.63829016,6704.08997531,0
2021-03-15,6721.53037587,6848.84529996,6718.04229576,6787.803898,0
2021-03-16,6801.75621845,6997.08870472,6791.29197811,6956.97578343,0
2021-03-17,6956.97578343,6965.69598371,6883.72610108,6922.09498231,0
2021-03-18,6943.02346298,7023.24930556,6850.58934002,7023.24930556,0
2021-03-19,6976.16022405,6988.36850444,6892.44630136,6923.83902237,0
2021-03-22,6915.11882209,6956.97578343,6803.5002585,6827.91681929,0
2021-03-23,6766.87541733,6789.54793805,6676.18533441,6691.88169492,0
2021-03-24,6629.0962529,6702.34593525,6561.07869072,6686.64957475,0
2021-03-25,6655.25685374,6707.57805542,6575.03101117,6660.48897391,0
2021-03-26,6681.41745458,6880.23802097,6662.23301397,6880.23802097,0
2021-03-29,6904.65458175,6943.02346298,6855.82146018,6897.67842153,0
2021-03-30,6890.7022613,7051.15394646,6864.54166046,7000.57678483,0
2021-03-31,6993.60062461,7066.85030696,6859.3095403,6859.3095403,0
2021-04-01,7065.1062669,7178.46887055,6923.83902237,7075.57050724,0
2021-04-06,7084.29070752,7148.82018959,6881.98206102,6906.39862181,0
2021-04-07,6923.83902237,7044.17778623,6801.75621845,7031.96950584,0
2021-04-08,7070.33838707,7155.79634982,6974.41618399,7155.79634982,0
2021-04-09,7176.72483049,7297.06359435,7150.56422965,7234.27815234,0
2021-04-12,7239.51027251,7291.83147419,6999.00732319,7063.36222685,0
2021-04-13,7045.92182629,7110.45130836,7018.01718539,7061.61818679,0
2021-04-14,7023.24930556,7087.77878763,6977.9042641,7033.7135459,0
2021-04-15,7065.1062669,7140.09998931,6897.67842153,6958.71982349,0
2021-04-16,6976.16022405,7157.54038987,6956.97578343,7154.05230976,0
2021-04-19,7150.56422965,7241.25431256,7021.5052655,7073.82646718,0
2021-04-20,7061.61818679,7061.61818679,6733.73865626,6796.52409828,0
2021-04-21,6852.33338007,6981.39234422,6805.24429856,6897.67842153,0
2021-04-22,6934.3032627,7031.96950584,6897.67842153,7019.76122545,0
2021-04-23,6949.99962321,6986.62446438,6800.01217839,6986.62446438,0
2021-04-26,6986.62446438,7127.89170892,6963.65179436,7054.64202657,0
2021-04-27,7012.78506522,7019.63905544,6855.82146018,6936.04730276,0
2021-04-28,6970.92810388,6983.13638427,6812.22045878,6812.22045878,0
2021-04-29,6833.14893946,6875.0059008,6796.88598659,6852.33338007,0
