Date,Open,High,Low,Close,Volume
2001-02-01,784.99999,844.99998,773.99998,844.99998,0
2001-03-01,836.99999,925.0,810.00004,885.99997,0
2001-04-02,888.00001,934.00002,868.99996,914.99996,0
2001-05-01,911.99999,1010.0,900.0,977.99997,0
2001-06-01,980.00002,1015.0,917.00001,930.00002,0
2001-07-02,930.00002,980.00002,900.0,918.99996,0
2001-08-01,918.50004,971.50002,905.00002,944.99998,0
2001-09-03,954.0,968.99996,769.99998,894.99998,0
2001-10-01,905.00002,1038.5,839.99996,868.99996,0
2001-11-01,877.49996,960.00004,827.49996,897.99995,0
2001-12-03,898.49997,91000.0,843.99996,89500.0,0
2002-01-02,91850.0,97150.0,920.49999,935.0,0
2002-02-01,938.0,960.0,910.0,951.5,0
2002-03-01,930.5,1097.5,930.5,1085.0,0
2002-04-02,1090.0,1095.0,1025.0,1040.5,0
2002-05-01,1030.5,1111.5,967.0,999.0,0
2002-06-05,1000.0,1000.0,857.0,932.0,0
2002-07-01,931.5,967.0,781.0,863.5,0
2002-08-01,881.0,938.0,800.0,843.0,0
2002-09-02,843.0,966.0,820.0,929.0,0
2002-10-01,929.0,940.0,762.0,890.0,0
2002-11-01,888.0,922.5,798.5,837.5,0
2002-12-02,837.87,846.28003,702.5,736.5,0
2003-01-02,727.5,810.0,714.0,760.0,0
2003-02-03,759.72998,846.5,758.0,800.0,0
2003-03-03,811.5,865.0,700.0,846.5,0
2003-04-01,848.25,958.5,842.5,943.5,0
2003-05-01,949.0,1029.0,930.5,965.0,0
2003-06-02,974.5,1043.5,956.0,1026.5,0
2003-07-01,1020.0,1166.5,1004.0,1135.5,0
2003-08-01,1127.5,1139.0,1072.0,1076.0,0
2003-09-01,1075.5,1170.5,1075.5,1124.0,0
2003-10-01,1129.0,1222.0,1111.0,1180.0,0
2003-11-03,1180.0,1185.0,1094.0,1115.0,0
2003-12-01,1122.0,1152.0,1072.0,1123.0,0
2004-01-02,1125.0,1320.0,1125.0,1286.0,0
2004-02-02,1300.0,1428.0,1260.0,1391.0,0
2004-03-01,1394.0,1449.0,1322.0,1430.0,0
2004-04-01,1434.0,1447.0,1355.0,1395.0,0
2004-05-04,1406.0,1447.0,1313.0,1386.0,0
2004-06-01,1380.0,1463.0,1380.0,1423.0,0
2004-07-01,1424.0,1510.0,1402.0,1497.0,0
2004-08-02,1505.0,1540.0,1468.0,1488.0,0
2004-09-01,1489.0,1640.0,1482.0,1633.0,0
2004-10-01,1637.0,1725.0,1632.0,1671.981,0
2004-11-01,1657.0,1712.0,1598.0,1604.0,0
2004-12-01,1596.0,1664.0,1587.0,1649.0,0
2005-01-04,1647.0,1697.0,1569.0,1571.0,0
2005-02-01,1575.0,1613.0,1536.0,1541.0,0
2005-03-01,1523.0,1651.0,1516.0,1592.0,0
2005-04-01,1584.0,1620.0,1432.0,1478.0,0
2005-05-03,1485.0,1528.0,1421.0,1440.0,0
2005-06-01,1447.0,1520.0,1436.0,1509.0,0
2005-07-01,1502.0,1598.0,1432.0,1574.0,0
2005-08-01,1588.0,1588.0,1491.0,1508.0,0
2005-09-01,1509.0,1520.0,1385.0,1392.0,0
2005-10-03,1391.0,1413.0,1245.0,1334.0,0
2005-11-01,1328.0,1423.0,1320.0,1385.0,0
